µTester v1.2
Start date:	03.08.2021 09:15:58,078
Time [s]	Force [N]	Disp1 [µm]	Temp1 [°C]	Temp2 [°C]
185,699	-3,152560	-1073,628467	22,529000	22,539000
185,767	-3,112660	-1073,664602	22,529000	22,539000
186,120	-2,661372	-1073,613825	22,529000	22,539000
186,595	-1,604598	-1073,340125	22,525000	22,532000
186,710	-1,106399	-1073,075334	22,525000	22,532000
186,767	-0,843082	-1072,782710	22,525000	22,532000
186,853	-0,616068	-1072,474409	22,525000	22,532000
186,883	-0,410634	-1072,504590	22,525000	22,532000
187,066	-0,301958	-1072,057608	22,525000	22,532000
187,151	-0,119038	-1071,760012	22,525000	22,532000
187,418	-0,042692	-1071,482237	22,525000	22,532000
187,447	0,213458	-1071,072067	22,525000	22,532000
187,477	0,273912	-1070,724399	22,525000	22,532000
187,566	0,807246	-1070,574254	22,525000	22,532000
187,594	0,713449	-1070,379425	22,525000	22,532000
187,742	0,890214	-1069,963038	22,525000	22,532000
187,771	1,199962	-1069,550934	22,525000	22,532000
187,919	1,477692	-1069,286350	22,536000	22,532000
188,066	1,877186	-1069,139866	22,536000	22,532000
188,094	1,762822	-1068,986475	22,536000	22,532000
188,241	1,929304	-1068,653449	22,536000	22,532000
188,389	2,144165	-1068,378851	22,536000	22,532000
188,536	2,305505	-1068,044029	22,536000	22,532000
188,713	2,569445	-1067,764113	22,536000	22,532000
188,890	2,738965	-1067,487995	22,536000	22,532000
189,007	2,805262	-1067,230387	22,536000	22,532000
189,068	2,960058	-1067,156834	22,536000	22,532000
189,184	3,087743	-1066,974712	22,536000	22,532000
189,417	3,114543	-1066,629324	22,519000	22,532000
189,564	3,553456	-1066,327722	22,519000	22,532000
189,680	3,631361	-1066,020249	22,519000	22,532000
189,770	3,802049	-1065,753041	22,519000	22,532000
189,917	3,824096	-1065,406340	22,519000	22,532000
190,035	3,973751	-1065,184852	22,519000	22,532000
190,097	4,106033	-1065,090442	22,519000	22,532000
190,272	4,110863	-1064,785939	22,519000	22,532000
190,392	4,463614	-1064,449598	22,519000	22,532000
190,478	4,497191	-1064,172583	22,519000	22,532000
190,568	4,744927	-1063,846670	22,519000	22,532000
190,654	4,957840	-1063,538991	22,519000	22,532000
190,684	5,039562	-1063,534156	22,521000	22,534000
190,772	5,066750	-1063,193947	22,521000	22,534000
190,888	5,441783	-1062,890411	22,521000	22,534000
190,981	5,490551	-1062,633908	22,521000	22,534000
191,097	5,609589	-1062,261930	22,521000	22,534000
191,244	5,832318	-1062,005288	22,521000	22,534000
191,391	6,076938	-1061,631515	22,521000	22,534000
191,571	6,190055	-1061,378119	22,521000	22,534000
191,777	6,395645	-1061,019678	22,521000	22,534000
191,952	6,499414	-1060,713932	22,521000	22,534000
192,071	6,555037	-1060,451351	22,521000	22,534000
192,247	6,791322	-1060,170261	22,529000	22,538000
192,396	6,824119	-1059,845867	22,529000	22,538000
192,481	7,154590	-1059,685363	22,529000	22,538000
192,542	7,135893	-1059,551793	22,529000	22,538000
192,690	7,293961	-1059,125048	22,529000	22,538000
192,776	7,381448	-1058,864953	22,529000	22,538000
192,896	7,524169	-1058,549469	22,529000	22,538000
193,014	7,763647	-1058,213887	22,529000	22,538000
193,222	8,001412	-1057,921747	22,529000	22,538000
193,366	8,156519	-1057,684236	22,529000	22,538000
193,395	8,123877	-1057,528221	22,529000	22,538000
193,513	8,348086	-1057,166395	22,523000	22,534000
193,600	8,636255	-1056,857058	22,523000	22,534000
193,714	8,722184	-1056,454415	22,523000	22,534000
193,836	8,922242	-1056,113585	22,523000	22,534000
193,956	9,086309	-1055,771995	22,523000	22,534000
193,984	9,199972	-1055,744853	22,523000	22,534000
194,070	9,388033	-1055,504649	22,523000	22,534000
194,188	9,486660	-1055,229913	22,523000	22,534000
194,311	9,416624	-1054,918987	22,523000	22,534000
194,484	9,851954	-1054,638380	22,523000	22,534000
194,631	9,873690	-1054,337400	22,523000	22,534000
194,808	10,087615	-1054,053547	22,523000	22,534000
194,955	10,220910	-1053,808854	22,524000	22,530000
194,984	10,248566	-1053,802845	22,524000	22,530000
195,132	10,192864	-1053,457111	22,524000	22,530000
195,311	10,431563	-1053,101225	22,524000	22,530000
195,454	10,690362	-1052,839335	22,524000	22,530000
195,574	10,906547	-1052,451334	22,524000	22,530000
195,664	11,068900	-1052,188131	22,524000	22,530000
195,750	11,178589	-1051,921337	22,524000	22,530000
195,807	11,236862	-1051,810904	22,524000	22,530000
195,864	11,487169	-1051,641697	22,524000	22,530000
195,986	11,470653	-1051,294306	22,524000	22,530000
196,187	11,661052	-1050,971363	22,524000	22,530000
196,335	11,543805	-1050,604496	22,515000	22,518000
196,450	11,821379	-1050,345092	22,515000	22,518000
196,507	11,994405	-1050,089901	22,515000	22,518000
196,598	12,207162	-1049,789473	22,515000	22,518000
196,627	12,304231	-1049,735810	22,515000	22,518000
196,688	12,427632	-1049,485039	22,515000	22,518000
196,810	12,670538	-1049,138131	22,515000	22,518000
196,930	12,707542	-1048,860356	22,515000	22,518000
197,044	12,902537	-1048,573741	22,515000	22,518000
197,191	12,943047	-1048,214609	22,515000	22,518000
197,399	13,335452	-1047,852783	22,515000	22,518000
197,548	13,356798	-1047,535710	22,515000	22,518000
197,756	13,509880	-1047,258695	22,522000	22,531000
197,872	13,567296	-1046,991349	22,522000	22,531000
198,076	13,729415	-1046,687398	22,522000	22,531000
198,228	13,881485	-1046,382343	22,522000	22,531000
198,407	14,121430	-1046,058779	22,522000	22,531000
198,494	14,177755	-1045,804624	22,522000	22,531000
198,523	14,345016	-1045,742052	22,522000	22,531000
198,609	14,366362	-1045,485341	22,522000	22,531000
198,727	14,482751	-1045,183532	22,522000	22,531000
198,817	14,731189	-1044,896088	22,522000	22,531000
198,911	14,819688	-1044,633300	22,522000	22,531000
